,Animal Utilizado,Lactação Utilizada,Animal Alvo,Lactação Alvo,EQM
344,1502,5,1564,2,6797.182847222217
345,1502,5,1564,3,11448.850678482982
346,1502,5,1566,1,9318.114465445264
347,1502,5,1566,2,9147.502669183668
348,1502,5,1566,3,7763.521627492058
349,1502,5,1566,4,901.0231249999996
350,1502,5,1573,1,9783.175769557816
351,1502,5,1573,2,11926.61957724829
352,1502,5,1573,3,5805.536668999995
353,1502,5,1584,1,5721.829513888885
354,1502,5,1584,2,6723.9522183673425
355,1502,5,1584,3,9619.397562240358
356,1502,5,1584,4,741.8041326530613
357,1502,5,1593,1,4911.483514739226
358,1502,5,1593,2,5882.714363321991
359,1502,5,1593,3,6184.560119446425
360,1502,5,1593,4,829.456250843537
361,1502,5,1594,1,6436.154971938771
362,1502,5,1594,2,9942.803167573691
363,1502,5,1594,3,11308.085482851013
364,1502,5,1594,4,479.56528111224475
365,1502,5,1622,1,5012.340676020404
366,1502,5,1622,2,8183.650843181813
367,1502,5,1622,3,6590.193478971423
368,1502,5,1622,4,625.564878564626
369,1502,5,1624,1,7747.314287131513
370,1502,5,1624,2,8286.876750167794
371,1502,5,1624,3,4102.44416498214
372,1502,5,1635,1,6913.105655612239
373,1502,5,1635,2,11623.990478263258
374,1502,5,1635,3,8442.328128682533
375,1502,5,1638,1,8562.317499999994
376,1502,5,1638,2,11076.144001734687
377,1502,5,1638,3,11179.361775106569
378,1502,5,1638,4,1540.5624999999995
379,1502,5,1645,1,7482.161186224485
380,1502,5,1645,2,9536.788490351013
381,1502,5,1645,3,9190.184131396818
382,1502,5,1647,1,7609.682624716546
383,1502,5,1647,2,7063.677794385482
384,1502,5,1647,3,9790.958158345076
385,1503,1,1502,1,34.35426444702562
386,1503,1,1502,2,183.30180714255098
387,1503,1,1502,3,197.59044621581504
388,1503,1,1502,4,211.17091800309416
389,1503,1,1502,5,250.34173108309645
390,1503,1,1503,2,304.9275646418951
391,1503,1,1503,3,204.47321994950852
392,1503,1,1503,4,308.02721927187105
393,1503,1,1507,1,49.965461568606166
